Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
46,,3.81,17.93,,52.63,98.88,,32.96,47.67,,14.62,93.73,,93.96,90.87,,58.84,12.61,,92.81,5.24,,89.14,53.59,,11.12,64.12,,35.71,5.38
47,,3.65,15.2,,53.22,96.88,,32.97,48.31,,12.38,94.72,,95.78,93.66,,59.52,15.78,,90.58,4.41,,88.13,55.28,,8.15,62.67,,36.36,3.24
48,,3.3,12.38,,53.83,95.02,,33.01,48.96,,10.04,95.9,,97.74,96.58,,60.29,18.92,,88.53,3.45,,87.25,56.96,,4.96,61.25,,36.94,0.85
49,,2.76,9.46,,54.46,93.31,,33.07,49.62,,7.59,97.24,,95.79,99.61,,61.13,22.06,,86.68,2.34,,86.51,58.65,,1.56,59.85,,37.47,3.23
50,,2.04,6.43,,55.08,91.73,,33.11,50.31,,5.04,98.75,,93.96,96.57,,62.06,25.2,,85.01,3.45,,85.91,60.34,,4.96,58.47,,37.95,5.41
51,,2.76,3.29,,55.67,90.31,,33.16,51.02,,2.39,97.25,,92.29,93.7,,63.06,28.33,,83.52,4.39,,85.48,62.01,,8.11,57.12,,38.38,7.38
52,,3.3,0.01,,56.21,89.06,,33.26,51.75,,5.05,95.9,,90.81,91.02,,64.16,31.45,,82.22,5.14,,85.2,63.64,,10.99,55.81,,38.78,9.17
53,,3.69,3.29,,56.7,88,,33.45,52.47,,7.58,94.71,,89.53,88.58,,65.36,34.54,,81.09,5.7,,85.1,65.19,,13.51,54.53,,39.12,10.77
54,,3.91,6.43,,57.12,87.16,,33.79,53.2,,9.97,93.68,,88.49,86.45,,66.66,37.57,,80.12,6.06,,85.17,66.59,,15.59,53.28,,39.44,12.16
55,,3.94,9.43,,57.46,86.54,,34.35,53.97,,12.21,92.84,,87.72,84.73,,68.08,40.53,,79.31,6.22,,85.44,67.78,,17.17,52.03,,39.73,13.36
56,,3.78,12.28,,57.71,86.17,,35.14,54.82,,14.3,92.19,,87.23,83.54,,69.61,43.37,,78.66,6.18,,85.91,68.62,,18.22,50.74,,40.01,14.34
57,,3.41,14.97,,57.87,86.05,,36.11,55.77,,16.23,91.73,,87.02,83.02,,71.26,46.07,,78.14,5.95,,86.6,69.03,,18.79,49.37,,40.28,15.1
