Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,,,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,
61,,12.19,81.08,,56.87,71.39,,102.14,49.75,,86.6,31.36,,36.1,48.33,,41.58,88.85,,29.75,58,,101.03,54.04,,43.53,93.48,,24.37,62.17,,
62,,3.14,74.04,,57.06,71.28,,92.02,54.93,,80.93,32.5,,37.52,49.09,,45.43,78.47,,31.61,48.68,,90.84,59.24,,47.44,83.61,,24.13,62.68,,
63,,-5.91,67.01,,57.28,71.16,,101.17,60.63,,75.27,33.64,,39.06,49.85,,49.23,68.02,,33.31,39.34,,99.99,64.96,,51.36,73.86,,23.89,63.17,,
64,,3.14,59.97,,57.65,71.03,,91.15,66.91,,69.62,34.77,,40.57,50.61,,52.97,57.49,,35.04,29.97,,89.89,71.24,,55.22,64.22,,23.64,63.67,,
65,,12.18,52.94,,58,71.01,,100.22,73.82,,63.97,35.88,,42.05,51.35,,56.72,46.92,,36.77,20.59,,98.96,78.16,,59.1,54.53,,23.38,64.19,,
66,,21.19,45.89,,58.35,71,,90.3,81.42,,58.35,36.96,,43.5,52.1,,60.46,36.31,,38.49,11.19,,88.95,85.76,,63.01,44.91,,23.11,64.71,,
67,,30.19,38.83,,58.69,70.99,,99.27,89.79,,63.48,40.81,,44.95,52.86,,67.19,39.66,,40.2,1.79,,97.92,94.12,,66.98,35.36,,22.84,65.26,,
68,,39.17,31.77,,59.04,71,,89.45,99,,69.86,44.95,,46.39,53.63,,74.2,43.34,,41.92,11.19,,88.02,103.32,,73.75,38.98,,22.55,65.81,,
69,,48.15,24.7,,59.39,71.03,,98.33,88.73,,77.04,49.42,,47.83,54.39,,81.82,47.39,,43.63,20.58,,96.9,93.35,,81.21,42.99,,22.25,66.36,,
70,,57.22,17.7,,59.73,71.06,,88.62,97.89,,84.12,53.98,,49.25,55.16,,90.14,51.85,,45.25,29.88,,106.68,102.42,,89.41,47.43,,21.94,66.91,,
71,,66.26,10.66,,60.08,71.11,,78.88,88.67,,91.12,58.57,,50.66,55.92,,99.23,56.78,,46.88,39.2,,96.87,93.41,,98.44,52.33,,21.62,67.47,,
72,,75.31,3.61,,60.42,71.17,,69.13,79.46,,98.08,63.18,,52.07,56.68,,89.35,62.21,,48.51,48.51,,87.08,84.42,,88.51,57.75,,21.29,68.03,,
73,,84.35,-3.44,,60.74,71.22,,59.39,70.29,,91.05,67.8,,53.49,57.48,,98.2,68.19,,50.1,57.75,,77.3,75.45,,97.39,63.72,,20.95,68.6,,
74,,93.4,3.61,,68.09,79.26,,64.05,76.47,,83.87,72.43,,58.87,63.17,,88.41,74.78,,55.03,63.5,,67.52,66.5,,107.26,70.27,,20.6,69.16,,
75,,102.44,10.66,,74.64,87.07,,70.69,84.37,,76.62,76.98,,64.61,69.44,,78.75,81.39,,60.55,69.81,,57.8,57.5,,97.39,76.91,,20.24,69.73,,
76,,93.4,17.7,,81.82,95.76,,77.91,93.06,,84.48,84.89,,70.91,76.37,,86.62,89.19,,66.71,76.77,,48.03,48.44,,87.57,83.54,,19.87,70.29,,
77,,84.35,24.74,,89.72,105.31,,85.84,102.61,,92.83,93.18,,77.79,83.98,,95.24,97.93,,73.5,84.41,,38.26,39.39,,96.46,91.7,,19.49,70.85,,
78,,75.31,31.77,,98.44,94.98,,94.59,92.09,,102.18,102.27,,85.35,92.37,,103.94,89.2,,81.01,92.81,,28.49,30.34,,106.09,100.77,,19.1,71.42,,
79,,66.26,38.8,,88.95,104.28,,104.27,101.45,,91.63,92.12,,93.58,101.62,,95.25,80.28,,89.24,102.07,,18.72,21.29,,95.76,90.55,,18.72,71.99,,
80,,57.22,45.82,,97.58,93.72,,94.49,92.04,,100.97,101.16,,102.85,91.41,,86.53,71.29,,98.43,92.19,,8.95,12.23,,105.16,99.63,,18.32,72.55,,
81,,48.17,52.84,,87.94,104.39,,103.61,101.03,,90.51,91.11,,92.87,100.43,,77.79,62.31,,87.9,99.99,,-0.83,3.17,,94.95,89.49,,17.93,73.12,,
82,,39.11,59.85,,96.61,94.27,,94.22,91.95,,99.81,100,,101.9,90.42,,69.06,53.32,,96.95,90.01,,8.95,-5.89,,104.22,98.44,,17.53,73.69,,
83,,30.06,66.86,,106.39,103.76,,103.16,100.86,,89.43,90.06,,92.09,99.25,,60.32,44.33,,107.27,98.48,,18.72,3.17,,94.13,88.42,,17.12,74.27,,
84,,21.02,73.87,,96.01,93.56,,92.53,91.02,,98.62,98.89,,82.1,90.34,,51.59,35.33,,96.87,88.48,,28.5,12.23,,103.23,97.29,,16.69,74.85,,
85,,22.91,81.3,,105.34,102.83,,101.76,100.28,,88.33,89.08,,72.03,81.39,,42.86,26.34,,86.57,78.22,,38.27,21.28,,93.26,107.2,,18.56,82.29,,
86,,24.98,89.48,,95.09,92.76,,91.28,90.04,,78.05,79.19,,61.96,72.44,,34.2,17.41,,76.22,68.02,,47.97,30.25,,83.15,97.28,,20.61,90.47,,
87,,27.26,98.48,,104.43,101.89,,100.66,99.19,,67.78,69.31,,51.87,63.48,,25.5,8.44,,65.88,57.78,,57.7,39.26,,73.01,87.4,,22.88,99.47,,
88,,29.76,88.55,,94.3,91.92,,90.28,89.04,,57.53,59.45,,41.75,54.53,,16.8,-0.53,,55.55,47.52,,67.43,48.23,,62.89,77.52,,25.38,89.61,,
89,,32.5,97.46,,103.49,100.94,,99.57,98.13,,47.28,49.61,,31.6,45.57,,8.1,8.44,,45.19,37.22,,77.21,57.19,,52.77,67.65,,28.12,98.52,,
90,,35.53,107.27,,93.48,91.09,,89.27,88.07,,37.04,39.79,,21.42,36.61,,-0.61,17.4,,34.85,26.9,,86.99,66.16,,42.66,57.79,,31.15,88.76,,
91,,38.48,97.44,,83.56,81.31,,78.89,77.96,,26.81,29.97,,11.23,27.66,,8.1,26.36,,24.51,16.55,,96.77,75.11,,32.55,47.94,,34.24,78.97,,
92,,41.44,87.63,,73.69,71.58,,68.44,67.81,,16.6,20.15,,12.37,30.45,,8.82,28.97,,14.19,6.16,,106.59,84.05,,22.44,38.1,,37.33,69.18,,
93,,44.39,77.83,,63.88,61.89,,57.94,57.61,,6.42,10.28,,13.5,33.49,,9.73,31.91,,3.86,-4.26,,96.78,93,,12.38,28.29,,40.41,59.38,,
94,,47.33,68.05,,54.13,52.22,,47.43,47.38,,-3.78,0.42,,14.76,36.95,,10.57,34.83,,-6.48,6.16,,86.98,101.96,,13.45,31.15,,43.47,49.59,,
95,,50.28,58.3,,44.46,42.57,,51.93,52.19,,6.41,10.32,,16.02,40.65,,11.6,38.02,,3.87,16.67,,77.18,93,,14.6,34.34,,47.99,54.42,,
96,,55.18,64.07,,34.73,32.85,,56.98,57.43,,16.6,20.14,,17.38,44.48,,12.77,41.53,,14.2,27.22,,67.38,84.05,,15.86,37.89,,52.89,59.59,,
97,,60.11,69.98,,25.04,23.13,,62.5,63.2,,26.81,29.88,,18.82,48.45,,14.08,45.42,,24.49,37.74,,57.59,75.12,,17.23,41.84,,58.33,65.27,,
98,,65.12,75.94,,15.33,13.28,,68.57,69.53,,37.07,39.65,,20.33,52.57,,15.51,49.71,,34.86,48.27,,47.74,66.39,,18.67,46.19,,64.33,71.48,,
99,,71.56,83.4,,5.62,3.45,,75.25,76.52,,47.34,49.35,,21.92,56.8,,17.08,54.41,,45.24,58.84,,37.89,57.6,,20.3,50.91,,70.98,78.31,,
